Id,Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb,CO2 Emissions(g/km)
8677,BARUSU,STATION WAGON - SMALL,3.3,6,AV7,X,0.12 liters per 100 km,45.75 L/100km,4.84 km/L,156
8678,BARUSU,SUV - SMALL,2,4,AV,X,5.09 L/100km,16.20 L/100 km,9.91 km/L,110
8679,FOLD,PICKUP TRUCK - STANDARD,3.3,6,AS6,X,16.22 mpg Imp.,9.79 mpg Imp.,22.56 L/100 km,271
8680,NIRRAN,MID-SIZE,2.5,4,AV,X,21.10 km per L,1.43 L/10km,11.07 km/L,179
8681,JIPU,SUV - STANDARD,6.4,8,A8,Z,3.92 L/10km,4.11 km/L,8.70 mpg Imp.,390
8682,FIAR,MINICOMPACT,,4,M5,X,0.61 L/10km,12.64 L/100 km,11.03 km/L,96
8683,LAND CRAWLER,SUV - SMALL,2,4,missing,Z,20.44 L/100 km,-9999,14.35 liters per 100 km,216
8684,TOYOTI,PICKUP TRUCK - SMALL,6,8,AS6,X,7.86 liters per 100 km,6.93 km/L,10.81 L/100 km,280
8685,JIPU,SUV - SMALL,3.2,,A9,X,4.42 km/L,24.98 km per L,14.24 liters per 100 km,233
8686,BMV,COMPACT,unestablished,4,A8,Z,4.09 L/100km,14.13 km per L,5.44 liters per 100 km,202
8687,FOLD,SUBCOMPACT,not-recorded,4,M6,X,5.77 liters per 100 km,0.99 L/10km,7.62 liters per 100 km,222
8688,BMV,SUV - STANDARD,3.6,6,AS8,Z,12.92 MPG (AS),26.99 km/L,11.68 L/100km,271
8689,NIRRAN,TWO-SEATER,2,4,M6,Z,19.59 MPG (AS),0.68 L/10km,10.36 km per L,280
8690,FIAR,SUV - SMALL,2.4,4,A9,na,100.68 mpg Imp.,0.94 L/10km,5.76 liters per 100 km,227
8691,CHEVO,COMPACT,2.4,4,M6,X,21.13 liters per 100 km,7.35 MPG (AS),2.60 L/10km,162
8692,GONDA,COMPACT,1.8,4,not-available,X,43.95 km/L,5.02 L/100km,3.51 L/100km,135
8693,DOGE,FULL-SIZE,3.6,6,A8,X,7.02 km/L,0.81 L/10km,24.64 mpg Imp.,235
8694,MITSU,COMPACT,,4,M5,X,7.73 liters per 100 km,41.17 MPG (AS),14.65 km/L,221
8695,FOLKSWA,COMPACT,,6,A6,Z,5.56 km/L,10.41 L/100km,16.14 MPG (AS),299
8696,MATSUDA,SUV - SMALL,2.5,4,AS6,X,,12.52 liters per 100 km,20.96 MPG (AS),224
8697,MATSUDA,COMPACT,2,4,AS6,X,16.34 mpg Imp.,47.20 MPG (AS),8.51 km/L,168
8698,FOLKSWA,STATION WAGON - SMALL,1.8,4,M5,X,3.46 L/100 km,10.70 km per L,6.11 L/100km,191
8699,FOLD,SPECIAL PURPOSE VEHICLE,missing,4,AS8,X,6.58 km/L,11.00 km/L,12.45 L/100km,208
8700,LECUS,MID-SIZE,1.4,4,AS6,X,17.42 L/100km,12.94 km/L,13.06 L/100km,217
8701,NIRRAN,TWO-SEATER,3.7,6,AS7,Z,28.53 mpg Imp.,0.83 L/10km,,270
8702,DOGE,FULL-SIZE,6.2,8,A8,Z,16.26 mpg Imp.,34.85 MPG (AS),7.94 km/L,454
8703,KIO,MID-SIZE,not-recorded,4,AS6,X,6.04 L/100km,42.21 MPG (AS),0.58 L/10km,176
8704,MITSU,SUV - SMALL,2,4,AV6,X,15.74 mpg Imp.,0.03 L/10km,9.98 km per L,198
8705,JIPU,SUV - SMALL,3.6,-1,M6,X,14.10 liters per 100 km,10.05 L/100 km,8.15 km/L,335
8706,DOGE,MID-SIZE,,8,M6,Z,1.84 L/10km,0.23 L/10km,25.27 mpg Imp.,314
8707,BMV,SUBCOMPACT,,8,AM7,Z,13.70 liters per 100 km,8.94 km/L,18.72 MPG (AS),368
8708,MATSUDA,COMPACT,2.5,4,AS6,X,6.86 L/100km,7.03 km per L,27.77 mpg Imp.,161
8709,FOLD,PICKUP TRUCK - STANDARD,,8,AS6,X,9.66 km/L,11.21 km/L,24.23 MPG (AS),340
8710,LAND CRAWLER,SUV - SMALL,,8,AS8,Z,13.32 L/100km,5.95 L/100km,10.00 km per L,673.6185547
8711,FOLD,SPECIAL PURPOSE VEHICLE,2,4,AS6,X,25.40 MPG (AS),0.80 L/10km,8.68 L/100 km,220
8712,KIO,COMPACT,2,4,AS6,X,102.11 mpg Imp.,9.94 km/L,6.05 L/100km,185
8713,BARUSU,SUV - SMALL,3.6,,AV6,X,8.18 L/100km,19.96 L/100km,1.35 L/10km,258
8714,GONDA,MID-SIZE,3.5,6,M6,X,5.84 km per L,1.42 L/10km,6.34 km per L,256
8715,TOYOTI,MID-SIZE,unspecified,6,AS8,X,4.18 km per L,15.15 km/L,16.13 L/100km,209
8716,JIPU,SUV - SMALL,3.6,6,M6,X,0.81 L/10km,11.56 mpg Imp.,6.47 km per L,269
8717,TOYOTI,STATION WAGON - MID-SIZE,1.8,4,AV,X,61.64 mpg Imp.,4.79 km per L,8.39 km per L,164
8718,BMV,COMPACT,2,4,AS8,Z,7.04 km per L,20.09 L/100 km,16.85 L/100km,221
8719,CHEVO,PICKUP TRUCK - STANDARD,5.3,,A6,E,4.93 km per L,1.68 L/10km,18.72 liters per 100 km,325
8720,GONDA,STATION WAGON - SMALL,1.6,4,AV,X,20.17 liters per 100 km,7.13 MPG (AS),2.59 L/10km,186
8721,BARUSU,SUV - SMALL,not-recorded,4,M5,X,16.25 L/100 km,5.48 km per L,17.15 L/100 km,213
8722,BARUSU,STATION WAGON - SMALL,2,4,M5,X,1.14 liters per 100 km,0.42 L/10km,113.03 mpg Imp.,193
8723,NIRRAN,PICKUP TRUCK - SMALL,2.5,4,M5,X,7.57 km per L,3.33 km/L,20.77 liters per 100 km,283
8724,LAND CRAWLER,SUV - STANDARD,3,6,AS8,Z,5.97 L/100km,0.56 L/10km,40.53 MPG (AS),296
8725,NIRRAN,MID-SIZE,1.8,4,AV,X,13.87 L/100 km,67.94 MPG (AS),10.89 km per L,176
8726,BMV,COMPACT,2,4,AS8,D,6.47 L/100 km,61.89 km per L,4.28 L/100 km,104
8727,CADILUXE,COMPACT,2,4,AS8,Z,6.09 km per L,27.86 km/L,10.65 liters per 100 km,225
8728,KIO,FULL-SIZE,,6,AS8,X,4.23 liters per 100 km,10.56 km per L,6.59 L/100 km,239
8729,LAND CRAWLER,SUV - SMALL,2,4,AS8,Z,6.69 liters per 100 km,26.69 km/L,,283
8730,FOLD,PICKUP TRUCK - STANDARD,3,,AS10,D,6.09 L/100km,18.19 liters per 100 km,11.54 liters per 100 km,293
8731,GONDA,SUV - SMALL,3.5,,A5,X,7520.11 MPG (AS),10.88 L/100km,0.49 L/10km,273
8732,BMV,COMPACT,4.4,8,A8,Z,1.25 L/10km,24.75 km per L,8.70 L/100 km,292
8733,NIRRAN,MID-SIZE,2.5,4,AV,unknown,0.67 L/100km,19.48 km per L,2.68 L/100km,181
8734,ASURA,MID-SIZE,3.5,not-available,AM7,Z,2.34 L/10km,198.08 MPG (AS),7.45 km/L,197
8735,KIO,FULL-SIZE,3.8,6,AS8,X,26.02 L/100km,22.32 mpg Imp.,5.00 km per L,273
8736,NIRRAN,MID-SIZE,1.8,4,M6,X,23.43 mpg Imp.,5.69 L/100 km,9.19 liters per 100 km,194
8737,BMV,SUBCOMPACT,not-available,4,AS8,Z,3.43 km per L,151.09 km/L,6.12 km per L,207
8738,FOLD,PICKUP TRUCK - STANDARD,3.5,6,AS10,X,2.87 km per L,16.51 km/L,4.57 km per L,382
8739,FOLKSWA,SUBCOMPACT,2,4,AM6,Z,14.49 MPG (AS),9.05 L/100 km,7.69 km/L,207
8740,BMV,COMPACT,unspecified,6,M6,Z,2.95 km/L,25.80 L/100km,9.33 mpg Imp.,242
8741,JIPU,SUV - SMALL,2,4,A9,X,33.38 L/100 km,11.26 km per L,-9999,235
8742,BMV,COMPACT,2,4,M6,Z,25.64 L/100 km,10.23 L/100km,18.70 L/100km,207
8743,MITSU,SUV - SMALL,2,4,M5,X,20.53 mpg Imp.,0.48 L/100km,7.78 L/100km,210
8744,CHEVO,COMPACT,1.4,4,M6,unspecified,7.56 L/100km,682.84 mpg Imp.,23.02 km/L,178
8745,MITSU,SUV - SMALL,2.4,4,AV6,X,19.48 L/100km,21.67 L/100 km,20.47 liters per 100 km,205
8746,LAND CRAWLER,SUV - STANDARD,3,6,AS8,Z,0.53 L/10km,13.31 km/L,6.29 liters per 100 km,292
8747,FOLD,PICKUP TRUCK - STANDARD,2.7,6,AS10,X,8.73 km/L,15.31 km per L,9.24 L/100km,266
8748,DOGE,MID-SIZE,6.2,8,M6,Z,0.33 liters per 100 km,18.28 L/100km,0.84 L/10km,345
8749,FOLD,COMPACT,,8,M6,X,1.81 L/100 km,27.25 MPG (AS),48.20 MPG (AS),96
8750,CHEVO,COMPACT,unspecified,,AS8,Z,10.50 liters per 100 km,11.92 km/L,9.55 L/100km,222
8751,TOYOTI,SUV - SMALL,3,6,missing,X,0.78 L/10km,7.64 km/L,23.16 MPG (AS),239
8752,FOLD,SUV - SMALL,2.4,4,AS8,X,11.67 MPG (AS),30.23 mpg Imp.,,215
8753,CHEVO,COMPACT,3.6,,AS8,X,37.11 liters per 100 km,10.52 L/100 km,11.23 mpg Imp.,253
8754,CHEVO,SUV - STANDARD,5,,,missing,18.98 MPG (AS),16.37 km/L,10.46 km/L,329
8755,GONDA,MINIVAN,5.3,8,A6,X,0.09 L/10km,2406.72 MPG (AS),,261
8756,JIPU,SUV - SMALL,3.6,6,A8,X,31.05 km per L,0.14 L/10km,97.50 MPG (AS),277
8757,CHEVO,PICKUP TRUCK - STANDARD,2,4,A6,X,7.39 mpg Imp.,4.98 km per L,30.05 liters per 100 km,325
8758,CHEVO,PICKUP TRUCK - STANDARD,,6,A6,X,34.55 km per L,12.61 L/100km,13.76 km per L,269
8759,DOGE,MID-SIZE,,4,M6,X,18.13 mpg Imp.,1.02 L/100km,31.28 mpg Imp.,192
8760,FOLD,PICKUP TRUCK - STANDARD,3.3,6,AS6,E,5.53 km/L,1.05 liters per 100 km,10.42 L/100 km,269
8761,FOLD,PICKUP TRUCK - STANDARD,5,8,AS6,E,11.19 mpg Imp.,12.23 L/100 km,19.38 L/100 km,305
8762,CHEVO,-1,,4,AS6,X,37.14 km per L,3.12 liters per 100 km,0.29 L/10km,202
8763,GONDA,MID-SIZE,3.5,6,AV,X,13.34 MPG (AS),174.53 km per L,28.37 mpg Imp.,179
8764,CHEVO,SUV - STANDARD,3.6,6,A9,X,1.01 L/10km,33.34 MPG (AS),26.93 MPG (AS),278
8765,FIAR,MINICOMPACT,,4,A6,X,93.04 km per L,-9999,41.28 MPG (AS),211
8766,FOLD,COMPACT,2,4,M5,X,31.41 km per L,7.60 L/100 km,19.33 km/L,194
8767,NIRRAN,STATION WAGON - MID-SIZE,na,6,not-recorded,X,17.73 MPG (AS),26.07 MPG (AS),-9999,217
8768,FOLD,SPECIAL PURPOSE VEHICLE,,4,AS8,X,30.20 L/100km,13.30 liters per 100 km,12.50 mpg Imp.,210
8769,FOLD,SPECIAL PURPOSE VEHICLE,,4,AS6,X,16.13 MPG (AS),14.15 liters per 100 km,14.39 L/100km,217
8770,BMV,missing,3,6,M6,Z,4.38 liters per 100 km,0.10 L/10km,98.93 mpg Imp.,253
8771,MATSUDA,COMPACT,2.5,4,AS6,X,9.08 km/L,1.92 L/10km,6.80 km/L,192
8772,LECUS,MID-SIZE,,8,,Z,,12.98 MPG (AS),22.47 L/100km,300
8773,KIO,SUV - SMALL,2.4,4,AS6,X,16.37 L/100km,36.84 MPG (AS),23.78 mpg Imp.,236
8774,FOLD,PICKUP TRUCK - STANDARD,3.5,6,A6,-1,13.45 MPG (AS),12.08 L/100km,18.77 mpg Imp.,279
8775,GONDA,COMPACT,not-recorded,4,M6,Z,1.23 L/10km,18.97 MPG (AS),12.34 L/100km,194
8776,CADILUXE,MID-SIZE,2.5,4,AS6,Z,16.21 L/100km,not-available,1.22 L/10km,248
8777,BMV,SUBCOMPACT,3,6,AS8,Z,5.07 liters per 100 km,45.40 MPG (AS),55.15 mpg Imp.,264
8778,FIAR,MINICOMPACT,1.4,4,M5,X,3.75 km per L,443.35 mpg Imp.,14.94 L/100 km,242.7253073
8779,BARUSU,SUV - SMALL,2.5,4,AV6,X,8.37 km/L,14.98 L/100km,-9999,187
8780,CHEVO,SUBCOMPACT,,4,AS8,Z,2.94 L/10km,11.40 L/100 km,21.28 L/100km,218
8781,BMV,SUBCOMPACT,,8,AS8,Z,1.77 km per L,18.79 L/100 km,39.60 L/100 km,309
8782,FOLD,SUBCOMPACT,1,3,M5,X,0.61 L/10km,10.99 liters per 100 km,12.07 km/L,171
8783,BMV,COMPACT,3,6,AM7,Z,12.43 L/100km,1.04 L/10km,24.48 mpg Imp.,296
8784,BMV,MID-SIZE,4.4,8,AS8,Z,5.34 km/L,11.59 mpg Imp.,13.29 mpg Imp.,299
8785,JIPU,SUV - SMALL,,4,A9,X,10.88 mpg Imp.,18.72 km/L,0,253
8786,FOLD,VAN - PASSENGER,3.5,6,-1,not-recorded,5.42 km per L,4.75 liters per 100 km,12.28 L/100 km,390
8787,FOLD,SUBCOMPACT,5,,M6,X,7.94 liters per 100 km,19.86 L/100 km,17.68 MPG (AS),318
8788,RYUNDAI,COMPACT,1.6,4,AM7,X,3.40 L/100 km,7.35 km/L,35.36 mpg Imp.,189
8789,JIPU,SUV - SMALL,2.4,4,A9,X,6.09 liters per 100 km,16.61 km/L,,221
8790,CHEVO,SUV - STANDARD,3.6,6,A6,X,26.44 L/100 km,2.13 L/100 km,18.22 mpg Imp.,308
8791,MATSUDA,COMPACT,2,4,AS6,X,80.89 mpg Imp.,12.38 MPG (AS),26.98 mpg Imp.,179
8792,FOLD,VAN - CARGO,4.6,,A4,X,15.87 L/100km,0.22 L/10km,0.97 L/10km,429
8793,FOLD,VAN - CARGO,5.4,,A4,X,3.81 L/100 km,37.22 MPG (AS),4.94 L/100km,351
8794,KIO,STATION WAGON - SMALL,2.4,4,AS6,X,1.75 L/10km,14.94 MPG (AS),5.98 km per L,209
8795,CHEVO,SUV - STANDARD,3.6,6,-1,X,28.75 L/100km,20.27 liters per 100 km,4.01 km per L,310
8796,FOLD,PICKUP TRUCK - STANDARD,3,6,AS10,D,10.20 km/L,zero,9.20 L/100km,251
8797,NIRRAN,TWO-SEATER,3.7,6,M6,Z,3.26 km/L,1.28 L/100km,5.73 km/L,284
8798,CHEVO,STATION WAGON - SMALL,not-available,4,M6,X,14.74 liters per 100 km,45.09 mpg Imp.,21.53 MPG (AS),180
8799,CHEVO,PICKUP TRUCK - STANDARD,5.3,8,A6,E,17.27 liters per 100 km,4.87 L/100 km,11.69 liters per 100 km,308
8800,BMV,COMPACT,3,6,AS8,Z,16.69 mpg Imp.,2.25 liters per 100 km,9999,234
8801,DOGE,FULL-SIZE,6.2,8,A8,Z,90.41 mpg Imp.,8.84 L/100 km,17.56 km/L,399
8802,TOYOTI,SUV - STANDARD,5.7,,AS6,X,22.70 L/100 km,6.33 liters per 100 km,15.34 MPG (AS),350
8803,KIO,FULL-SIZE,,4,AM7,X,25.63 L/100 km,21.74 liters per 100 km,11.83 mpg Imp.,164
8804,MITSU,SUV - SMALL,5.3,8,AV6,X,0.86 L/10km,606.36 MPG (AS),4.88 L/100km,224
8805,BARUSU,SUV - SMALL,missing,4,AV7,X,1.90 L/100km,20.56 mpg Imp.,7.23 L/100 km,199
8806,FOLD,PICKUP TRUCK - STANDARD,2.7,,AS10,X,9.70 liters per 100 km,132.84 mpg Imp.,15.89 km per L,261
8807,CADILUXE,COMPACT,2.7,4,AS10,Z,5.06 km/L,6.15 liters per 100 km,20.70 mpg Imp.,233
8808,NIRRAN,SUV - SMALL,4,6,A5,X,20.63 liters per 100 km,14.35 L/100 km,1.78 L/10km,312
8809,MITSU,COMPACT,,3,M5,X,20.39 km/L,-9999,5.17 L/100km,169
8810,BMV,FULL-SIZE,1.8,4,,Z,17.66 L/100km,8.93 km/L,15.94 MPG (AS),287
8811,TOLVO,STATION WAGON - SMALL,3,6,AS6,X,6.73 km per L,150.28 km per L,11.81 km/L,261
8812,CHEVO,COMPACT,1.4,4,AS6,X,24.99 mpg Imp.,0.02 L/10km,15.86 km/L,468.2118481
8813,MITSU,SUV - SMALL,2,4,AV6,X,16.33 mpg Imp.,0.59 L/10km,8.20 km/L,217
8814,MITSU,SUV - SMALL,,4,AV8,X,2.15 liters per 100 km,14.98 L/100 km,,211
8815,BMV,SUV - STANDARD,,8,not-available,Z,6.54 mpg Imp.,122.26 mpg Imp.,-1,351
8816,KIO,COMPACT,2.5,4,M6,X,4.37 liters per 100 km,261.98 km/L,2.57 L/100km,170
8817,FOLKSWA,STATION WAGON - SMALL,1.8,4,AM6,X,49.35 MPG (AS),23.20 mpg Imp.,8.10 L/100 km,224
8818,RYUNDAI,FULL-SIZE,5,8,AS8,Z,8.37 MPG (AS),21.03 km per L,5.68 km/L,309
8819,BMV,COMPACT,2.4,4,A8,Z,13.68 MPG (AS),1.06 L/10km,7.02 km per L,190
8820,TOYOTI,SUV - STANDARD,3.5,6,AS8,X,1.72 L/10km,0.60 L/10km,8.22 km/L,249
8821,MATSUDA,COMPACT,2,4,AS6,X,6.41 km per L,21.95 L/100 km,12.74 MPG (AS),165
8822,MATSUDA,MINIVAN,2.5,4,M6,X,1.40 L/10km,26.12 km per L,24.96 MPG (AS),225
8823,FOLD,PICKUP TRUCK - STANDARD,5,8,AS10,X,0.79 L/10km,7.78 km per L,23.16 MPG (AS),315
8824,MATSUDA,MINIVAN,2.5,4,M6,X,10.61 km/L,8.22 L/100 km,11.26 km/L,216
8825,GONDA,SUV - SMALL,2.5,not-recorded,AV,X,407.59 mpg Imp.,80.89 MPG (AS),1.69 liters per 100 km,185
8826,BMV,FULL-SIZE,3.3,6,AS8,Z,21.20 MPG (AS),114.83 km per L,36.22 MPG (AS),205
8827,CHEVO,PICKUP TRUCK - STANDARD,,,A6,X,17.87 L/100 km,14.04 L/100 km,14.57 MPG (AS),274
8828,BARUSU,SUV - SMALL,3,6,M6,X,12.96 L/100 km,13.27 mpg Imp.,1.67 L/10km,217
8829,GONDA,MID-SIZE,2,4,M6,X,3.23 L/100km,1.43 L/10km,12.16 km per L,190
8830,NIRRAN,PICKUP TRUCK - STANDARD,5.6,8,A5,X,10.46 km per L,8.90 km per L,10.32 L/100 km,384
8831,LECUS,MID-SIZE,3.5,6,AV10,Z,7.47 km per L,9.62 L/100km,11.69 L/100 km,196
8832,FOLD,COMPACT,2,4,AM6,X,44.90 MPG (AS),4.30 km/L,7.50 km per L,169
8833,NIRRAN,SUV - SMALL,3.5,6,AV,X,16.23 L/100 km,19.69 MPG (AS),1.43 L/10km,253
8834,FOLKSWA,COMPACT,2,4,AM6,Z,12.84 MPG (AS),15.20 L/100km,13.91 MPG (AS),213
8835,LECUS,not-recorded,5.7,8,AS6,Z,1.30 L/10km,31.86 L/100 km,10.95 MPG (AS),351
8836,RYUNDAI,SUV - SMALL,3.3,6,AS6,X,14.80 mpg Imp.,-9999,13.15 L/100 km,279
8837,LECUS,MID-SIZE,1.8,,AS8,Z,-9999,4.32 km per L,14.22 MPG (AS),304
8838,GONDA,COMPACT,,4,AV7,X,1.05 L/10km,22.62 L/100 km,14.76 MPG (AS),144
8839,BMV,COMPACT,,4,M6,Z,70.49 MPG (AS),16.21 km/L,0.46 L/10km,240
8840,BMV,SUBCOMPACT,2,4,M6,Z,15.59 km/L,18.19 km/L,16.66 km/L,275
8841,BARUSU,COMPACT,2,4,M6,Z,,213.45 mpg Imp.,9.22 L/100 km,234
8842,FOLD,SUV - STANDARD,4,6,AS6,unknown,12.89 L/100km,2.32 L/10km,16.13 mpg Imp.,328
8843,KIO,MINIVAN,3.3,6,AS6,X,18.38 mpg Imp.,82.01 MPG (AS),0.97 L/10km,280
8844,CHEVO,SUV - STANDARD,5.3,8,A6,E,28.33 L/100km,69.64 MPG (AS),16.52 mpg Imp.,326
8845,LECUS,SUV - STANDARD,3.5,6,AV6,Z,2.56 L/100km,3.36 km per L,6.75 km per L,187
8846,RYUNDAI,MID-SIZE,unspecified,4,AS6,X,0.25 L/10km,13.08 km/L,-1,195
8847,DOGE,FULL-SIZE,,missing,A8,X,13.62 mpg Imp.,6.32 L/100 km,1.43 L/10km,300
8848,FOLD,SUBCOMPACT,5.2,8,M6,Z,6.13 liters per 100 km,6.22 km/L,26.63 mpg Imp.,430
8849,KIO,MID-SIZE,2,4,A6,X,9.95 km/L,0.12 L/100 km,,196
8850,FOLKSWA,COMPACT,1.4,4,M6,X,7.42 liters per 100 km,1.51 L/10km,10.88 L/100 km,164
8851,JIPU,SUV - SMALL,2.4,4,M5,X,6.36 km/L,1.25 L/10km,16.45 MPG (AS),225
8852,DOGE,SUV - STANDARD,6.4,8,A8,Z,1.00 L/10km,20.40 km/L,30.47 MPG (AS),388
8853,TOLVO,SUV - SMALL,2,4,AS8,Z,0.60 L/10km,7.00 L/100km,-1,228
8854,GONDA,SUV - SMALL,1.8,4,AV,X,13.11 L/100 km,9.68 liters per 100 km,24.42 mpg Imp.,199
8855,TOLVO,SUV - SMALL,2,4,AS8,Z,12.11 km per L,25.75 mpg Imp.,24.82 MPG (AS),221
8856,CHEVO,PICKUP TRUCK - SMALL,3.6,,A8,X,21.68 liters per 100 km,32.46 L/100 km,,700.7323715
8857,TOYOTI,PICKUP TRUCK - SMALL,1.4,4,M6,X,2.84 L/10km,52.14 mpg Imp.,13.01 MPG (AS),317
8858,ASURA,MID-SIZE,3.5,,AS6,Z,20.04 L/100km,9.30 L/100km,15.20 L/100km,240
8859,FOLD,SUBCOMPACT,5.3,8,AS10,X,22.71 km per L,1.73 L/10km,9.79 km/L,232
8860,DOGE,FULL-SIZE,6.4,8,A8,Z,5.34 km per L,32.41 km per L,8.56 km per L,335
8861,TOYOTI,MINICOMPACT,2,4,AS6,,0.62 L/10km,8.03 L/100 km,7.05 L/100 km,215
8862,JIPU,SUV - SMALL,2.4,4,A9,X,1.69 L/10km,,18.78 MPG (AS),221
8863,FOLD,SUBCOMPACT,2.4,4,na,Z,2.03 L/10km,3.42 L/100 km,7.88 km/L,412
8864,LECUS,-1,5.3,,AS6,Z,2.72 km per L,86.34 mpg Imp.,4.61 km per L,226
8865,LAND CRAWLER,SUV - SMALL,missing,4,AS9,Z,0.71 L/10km,,0.65 L/10km,231
8866,RYUNDAI,MID-SIZE,2.4,4,AS6,X,11.31 km per L,36.49 mpg Imp.,33.84 mpg Imp.,153
8867,BMV,COMPACT,2,-1,M6,Z,7.19 L/100 km,49.90 km per L,,205
8868,FOLKSWA,COMPACT,2,4,M6,Z,41.57 MPG (AS),424.71 mpg Imp.,3.41 L/100km,221
8869,FIAR,SUV - SMALL,1.4,4,unknown,unspecified,14.20 L/100 km,9999,8.31 km/L,194
8870,FOLD,SUV - STANDARD,3.5,6,AS6,X,1.52 L/10km,11.88 MPG (AS),13.61 MPG (AS),285
8871,LAND CRAWLER,SUV - STANDARD,4.3,,AS8,E,29.07 L/100km,17.60 MPG (AS),4.55 km/L,355
8872,JIPU,SUV - SMALL,,,A8,X,3.70 km/L,6.71 liters per 100 km,15.79 mpg Imp.,306
8873,CADILUXE,SUV - STANDARD,3.6,6,AS6,X,15.99 mpg Imp.,2.30 L/10km,2.00 L/10km,292
8874,CHEVO,SUV - SMALL,1.6,4,unspecified,D,40.20 MPG (AS),17.06 L/100km,9.18 km/L,186
8875,TOYOTI,COMPACT,1.5,4,M5,X,14.04 mpg Imp.,0.37 L/10km,12.74 liters per 100 km,177
8876,BMV,COMPACT,3,6,AM7,Z,1.00 L/100 km,7.71 L/100 km,70.23 mpg Imp.,293
8877,CHEVO,PICKUP TRUCK - STANDARD,,6,A6,E,27.15 liters per 100 km,10.52 km per L,19.21 L/100km,287
8878,KIO,FULL-SIZE,1.6,4,A6,X,14.15 L/100 km,9.55 L/100km,23.39 mpg Imp.,221
8879,CADILUXE,COMPACT,,4,M6,Z,5.00 L/100km,71.86 MPG (AS),4.23 L/100km,457.7203838
8880,BMV,COMPACT,4.4,,AS8,Z,12.70 liters per 100 km,27.37 MPG (AS),26.03 mpg Imp.,304
8881,BMV,TWO-SEATER,3,not-available,AM7,Z,23.66 liters per 100 km,36.43 km/L,14.25 L/100km,302
8882,FOLKSWA,COMPACT,,4,AM6,Z,3.67 km per L,15.94 MPG (AS),4.63 km/L,209
8883,CHEVO,VAN - CARGO,5.3,8,A4,X,19.06 L/100 km,9.46 liters per 100 km,19.16 mpg Imp.,405
8884,CHEVO,VAN - PASSENGER,,8,A6,X,2.88 km per L,9.44 liters per 100 km,23.34 liters per 100 km,365
8885,TOYOTI,SUV - STANDARD,5.7,8,AS6,X,3.90 km/L,1.78 L/10km,2.21 L/10km,399
8886,TOLVO,STATION WAGON - SMALL,missing,5,AS6,X,6.23 km/L,6.24 L/100km,11.63 liters per 100 km,239
8887,NIRRAN,SUV - SMALL,2.5,4,AV,X,44.34 MPG (AS),16.15 L/100km,9.82 km/L,198
8888,GONDA,COMPACT,1.5,4,M6,X,0.18 L/100km,18.71 liters per 100 km,0.85 L/10km,102
8889,GONDA,FULL-SIZE,2,4,M6,X,11.63 km per L,1.50 L/10km,24.61 mpg Imp.,203
8890,CADILUXE,unknown,3.3,,AS9,X,1.34 L/10km,2.76 km per L,23.66 liters per 100 km,276
8891,NIRRAN,MID-SIZE,not-recorded,4,-1,X,2.98 km/L,17.01 L/100 km,3.83 km per L,194
8892,GONDA,STATION WAGON - SMALL,2.3,4,AV7,X,28.93 MPG (AS),41.72 mpg Imp.,37.58 mpg Imp.,177
8893,FOLD,,1,3,AS6,X,0.76 L/10km,28.00 km per L,5.80 L/100 km,185
8894,TOLVO,COMPACT,2.5,5,AS6,X,112.29 mpg Imp.,187.25 km per L,1.62 L/100 km,227
8895,NIRRAN,PICKUP TRUCK - SMALL,4,6,M6,X,21.57 L/100km,0.35 L/10km,7.43 km/L,328
8896,BMV,SUV - SMALL,3,6,AS8,Z,7.32 km/L,0.59 L/10km,27.73 mpg Imp.,252
8897,BMV,SUV - SMALL,3,-1,AS8,Z,3.63 km/L,58.57 km per L,17.74 mpg Imp.,268
8898,GONDA,FULL-SIZE,1.5,4,M6,X,8.53 km per L,12.17 L/100km,11.92 liters per 100 km,116
8899,DOGE,FULL-SIZE,3.6,6,A8,X,20.97 L/100km,-9999,4.58 km/L,301
8900,TOYOTI,SUV - SMALL,3.5,-1,AS8,X,0.03 L/10km,28.79 mpg Imp.,4.59 liters per 100 km,229
8901,TOLVO,SUV - SMALL,3.2,6,AS6,X,163.57 mpg Imp.,35.26 mpg Imp.,4.55 L/100km,262
8902,FOLKSWA,COMPACT,2.5,4,M6,unknown,12.67 mpg Imp.,1.02 L/10km,-1,215
8903,BMV,COMPACT,,4,AS8,Z,3.83 km/L,21.46 L/100km,24.03 L/100 km,187
8904,JIPU,SUV - SMALL,2,4,A9,na,15.26 mpg Imp.,20.23 L/100km,5.19 km/L,255
8905,MITSU,not-recorded,1.2,3,M5,X,not-available,25.54 mpg Imp.,0,174
8906,DOGE,MID-SIZE,2,4,,X,223.44 mpg Imp.,25.95 mpg Imp.,42.05 MPG (AS),190
8907,FOLD,VAN - CARGO,2,4,A4,E,7.56 km/L,3.88 km per L,5.30 km per L,367
8908,MATSUDA,COMPACT,,4,M6,X,146.41 km/L,4.15 km/L,11.23 L/100km,137
8909,CHEVO,SUV - SMALL,,4,A9,Z,10.63 L/100 km,13.14 liters per 100 km,1.18 L/10km,217
8910,FOLD,SUBCOMPACT,2.3,4,AS6,X,676.97 km/L,19.62 km per L,42.10 km/L,237
